Date,Price
Oct 23  2019,0.011949
Oct 22  2019,0.012059
Oct 21  2019,0.012451
Oct 20  2019,0.012221
Oct 19  2019,0.011832
Oct 18  2019,0.012209
Oct 17  2019,0.013028
Oct 16  2019,0.012530
Oct 15  2019,0.013614
Oct 14  2019,0.015570
Oct 13  2019,0.015071
Oct 12  2019,0.018740
Oct 11  2019,0.009456
Oct 10  2019,0.009566
Oct 09  2019,0.009524
Oct 08  2019,0.008836
Oct 07  2019,0.009041
Oct 06  2019,0.008442
Oct 05  2019,0.008584
Oct 04  2019,0.008549
Oct 03  2019,0.008602
Oct 02  2019,0.008582
Oct 01  2019,0.008789
Sep 30  2019,0.008581
Sep 29  2019,0.009617
Sep 28  2019,0.011105
Sep 27  2019,0.010463
Sep 26  2019,0.008055
Sep 25  2019,0.008649
Sep 24  2019,0.008528
Sep 23  2019,0.009861
Sep 22  2019,0.011293
Sep 21  2019,0.011111
Sep 20  2019,0.011658
Sep 19  2019,0.011898
Sep 18  2019,0.011120
Sep 17  2019,0.011300
Sep 16  2019,0.010182
Sep 15  2019,0.009893
Sep 14  2019,0.010886
Sep 13  2019,0.010420
Sep 12  2019,0.010092
Sep 11  2019,0.010133
Sep 10  2019,0.010219
Sep 09  2019,0.010102
Sep 08  2019,0.010628
Sep 07  2019,0.010304
Sep 06  2019,0.010253
Sep 05  2019,0.010515
Sep 04  2019,0.010456
Sep 03  2019,0.010466
Sep 02  2019,0.010804
Sep 01  2019,0.010878
Aug 31  2019,0.010521
Aug 30  2019,0.010499
Aug 29  2019,0.009573
Aug 28  2019,0.010316
Aug 27  2019,0.010754
Aug 26  2019,0.010008
Aug 25  2019,0.009174
Aug 24  2019,0.010406
Aug 23  2019,0.010214
Aug 22  2019,0.008756
Aug 21  2019,0.010126
Aug 20  2019,0.010494
Aug 19  2019,0.011669
Aug 18  2019,0.011435
Aug 17  2019,0.012581
Aug 16  2019,0.010410
Aug 15  2019,0.011243
Aug 14  2019,0.011530
Aug 13  2019,0.011565
Aug 12  2019,0.010843
Aug 11  2019,0.012017
Aug 10  2019,0.011419
Aug 09  2019,0.012335
Aug 08  2019,0.012935
Aug 07  2019,0.012326
Aug 06  2019,0.012095
Aug 05  2019,0.013412
Aug 04  2019,0.014022
Aug 03  2019,0.014313
Aug 02  2019,0.014633
Aug 01  2019,0.014726
Jul 31  2019,0.014769
Jul 30  2019,0.014236
Jul 29  2019,0.015159
Jul 28  2019,0.014759
Jul 27  2019,0.015659
Jul 26  2019,0.016534
Jul 25  2019,0.016423
Jul 24  2019,0.016397
Jul 23  2019,0.017207
Jul 22  2019,0.019548
Jul 21  2019,0.019264
Jul 20  2019,0.020327
Jul 19  2019,0.019032
Jul 18  2019,0.019859
Jul 17  2019,0.018897
Jul 16  2019,0.015814
Jul 15  2019,0.019825
Jul 14  2019,0.019826
Jul 13  2019,0.022685
Jul 12  2019,0.024193
Jul 11  2019,0.023342
Jul 10  2019,0.024603
Jul 09  2019,0.026801
Jul 08  2019,0.026893
Jul 07  2019,0.027165
Jul 06  2019,0.028068
Jul 05  2019,0.025499
Jul 04  2019,0.026887
Jul 03  2019,0.025333
Jul 02  2019,0.025652
Jul 01  2019,0.029719
Jun 30  2019,0.024260
Jun 29  2019,0.025694
Jun 28  2019,0.027383
Jun 27  2019,0.025734
Jun 26  2019,0.029082
Jun 25  2019,0.028431
Jun 24  2019,0.033882
Jun 23  2019,0.035054
Jun 22  2019,0.033668
Jun 21  2019,0.033578
Jun 20  2019,0.037653
Jun 19  2019,0.041917
Jun 18  2019,0.035746
Jun 17  2019,0.035269
Jun 16  2019,0.035880
Jun 15  2019,0.035493
Jun 14  2019,0.037638
Jun 13  2019,0.040629
Jun 12  2019,0.041697
Jun 11  2019,0.040528
Jun 10  2019,0.041398
Jun 09  2019,0.039743
Jun 08  2019,0.045549
Jun 07  2019,0.048070
Jun 06  2019,0.051777
Jun 05  2019,0.050595
Jun 04  2019,0.045525
Jun 03  2019,0.050139
Jun 02  2019,0.056213
Jun 01  2019,0.051199
May 31  2019,0.050557
May 30  2019,0.048978
May 29  2019,0.051673
May 28  2019,0.050874
May 27  2019,0.051809
May 26  2019,0.053391
May 25  2019,0.055470
May 24  2019,0.056750
May 23  2019,0.062335
May 22  2019,0.058767
May 21  2019,0.062567
May 20  2019,0.063141
May 19  2019,0.065868
May 18  2019,0.062481
May 17  2019,0.062415
May 16  2019,0.067956
May 15  2019,0.073494
May 14  2019,0.068913
May 13  2019,0.073468
May 12  2019,0.077361
May 11  2019,0.075202
May 10  2019,0.070207
May 09  2019,0.062016
May 08  2019,0.058791
May 07  2019,0.053580
May 06  2019,0.048574
May 05  2019,0.051053
May 04  2019,0.046978
May 03  2019,0.056940
May 02  2019,0.053344
May 01  2019,0.051984
Apr 30  2019,0.048724
Apr 29  2019,0.047838
Apr 28  2019,0.053668
Apr 27  2019,0.052008
Apr 26  2019,0.050051
Apr 25  2019,0.047682
Apr 24  2019,0.053515
Apr 23  2019,0.052472
Apr 22  2019,0.057229
Apr 21  2019,0.052055
Apr 20  2019,0.052870
Apr 19  2019,0.053278
Apr 18  2019,0.055641
Apr 17  2019,0.054596
Apr 16  2019,0.054898
Apr 15  2019,0.053298
Apr 14  2019,0.052510
Apr 13  2019,0.051989
Apr 12  2019,0.050173
Apr 11  2019,0.053061
Apr 10  2019,0.054637
Apr 09  2019,0.053673
Apr 08  2019,0.056595
Apr 07  2019,0.053959
Apr 06  2019,0.052208
Apr 05  2019,0.052434
Apr 04  2019,0.053595
Apr 03  2019,0.054256
Apr 02  2019,0.059219
Apr 01  2019,0.056148
Mar 31  2019,0.056431
Mar 30  2019,0.055565
Mar 29  2019,0.056101
Mar 28  2019,0.055274
Mar 27  2019,0.055325
Mar 26  2019,0.057582
Mar 25  2019,0.049767
Mar 24  2019,0.054044
Mar 23  2019,0.054523
Mar 22  2019,0.052164
Mar 21  2019,0.049155
Mar 20  2019,0.050875
Mar 19  2019,0.050757
Mar 18  2019,0.049118
Mar 17  2019,0.049863
Mar 16  2019,0.049805
Mar 15  2019,0.047886
Mar 14  2019,0.047026
Mar 13  2019,0.047015
Mar 12  2019,0.044470
Mar 11  2019,0.043634
Mar 10  2019,0.044530
Mar 09  2019,0.045314
Mar 08  2019,0.043040
Mar 07  2019,0.043341
Mar 06  2019,0.044941
Mar 05  2019,0.041526
Mar 04  2019,0.039724
Mar 03  2019,0.040409
Mar 02  2019,0.040999
Mar 01  2019,0.040970
Feb 28  2019,0.039112
Feb 27  2019,0.039550
Feb 26  2019,0.038301
Feb 25  2019,0.040785
Feb 24  2019,0.038139
Feb 23  2019,0.044884
Feb 22  2019,0.042927
Feb 21  2019,0.043389
Feb 20  2019,0.041924
Feb 19  2019,0.040835
Feb 18  2019,0.040022
Feb 17  2019,0.036902
Feb 16  2019,0.036399
Feb 15  2019,0.034822
Feb 14  2019,0.035540
Feb 13  2019,0.036300
Feb 12  2019,0.036535
Feb 11  2019,0.036480
Feb 10  2019,0.037353
Feb 09  2019,0.037110
Feb 08  2019,0.037567
Feb 07  2019,0.034677
Feb 06  2019,0.034054
Feb 05  2019,0.034600
Feb 04  2019,0.034996
Feb 03  2019,0.034618
Feb 02  2019,0.034294
Feb 01  2019,0.034141
Jan 31  2019,0.034025
Jan 30  2019,0.030906
Jan 29  2019,0.029574
Jan 28  2019,0.029414
Jan 27  2019,0.031115
Jan 26  2019,0.032377
Jan 25  2019,0.031246
Jan 24  2019,0.033187
Jan 23  2019,0.036130
Jan 22  2019,0.031188
Jan 21  2019,0.028851
Jan 20  2019,0.024399
Jan 19  2019,0.026229
Jan 18  2019,0.029791
Jan 17  2019,0.024932
Jan 16  2019,0.022259
Jan 15  2019,0.021223
Jan 14  2019,0.021319
Jan 13  2019,0.020469
Jan 12  2019,0.021548
Jan 11  2019,0.020720
Jan 10  2019,0.020319
Jan 09  2019,0.022649
Jan 08  2019,0.023541
Jan 07  2019,0.022509
Jan 06  2019,0.023742
Jan 05  2019,0.021730
Jan 04  2019,0.021134
Jan 03  2019,0.021174
Jan 02  2019,0.021776
Jan 01  2019,0.021006
Dec 31  2018,0.021216
Dec 30  2018,0.020813
Dec 29  2018,0.021058
Dec 28  2018,0.021979
Dec 27  2018,0.020400
Dec 26  2018,0.022407
Dec 25  2018,0.023231
Dec 24  2018,0.024484
Dec 23  2018,0.021096
Dec 22  2018,0.022210
Dec 21  2018,0.021816
Dec 20  2018,0.021949
Dec 19  2018,0.023654
Dec 18  2018,0.024958
Dec 17  2018,0.024938
Dec 16  2018,0.022456
Dec 15  2018,0.022801
Dec 14  2018,0.021647
Dec 13  2018,0.021545
Dec 12  2018,0.022896
Dec 11  2018,0.021064
Dec 10  2018,0.022870
Dec 09  2018,0.024299
Dec 08  2018,0.025171
Dec 07  2018,0.025690
Dec 06  2018,0.037426
Dec 05  2018,0.021938
Dec 04  2018,0.023004
Dec 03  2018,0.021954
Dec 02  2018,0.024476
Dec 01  2018,0.023051
Nov 30  2018,0.020639
Nov 29  2018,0.022950
Nov 28  2018,0.023074
Nov 27  2018,0.019198
Nov 26  2018,0.020918
Nov 25  2018,0.023938
Nov 24  2018,0.022827
Nov 23  2018,0.026020
Nov 22  2018,0.025979
Nov 21  2018,0.028727
Nov 20  2018,0.026841
Nov 19  2018,0.034257
Nov 18  2018,0.039645
Nov 17  2018,0.044319
Nov 16  2018,0.045822
Nov 15  2018,0.045485
Nov 14  2018,0.047655
Nov 13  2018,0.058205
Nov 12  2018,0.056083
Nov 11  2018,0.057659
Nov 10  2018,0.057672
Nov 09  2018,0.058205
Nov 08  2018,0.060082
Nov 07  2018,0.059392
Nov 06  2018,0.060812
Nov 05  2018,0.057508
Nov 04  2018,0.060909
Nov 03  2018,0.061642
Nov 02  2018,0.062603
Nov 01  2018,0.059590
Oct 31  2018,0.059734
Oct 30  2018,0.061868
Oct 29  2018,0.060436
Oct 28  2018,0.066936
Oct 27  2018,0.072764
Oct 26  2018,0.062756
Oct 25  2018,0.059100
Oct 24  2018,0.055307
Oct 23  2018,0.051767
Oct 22  2018,0.049595
Oct 21  2018,0.050506
Oct 20  2018,0.049382
Oct 19  2018,0.049932
Oct 18  2018,0.050518
Oct 17  2018,0.050560
Oct 16  2018,0.050283
Oct 15  2018,0.051356
Oct 14  2018,0.051019
Oct 13  2018,0.051597
Oct 12  2018,0.048635
Oct 11  2018,0.050050
Oct 10  2018,0.055045
Oct 09  2018,0.057018
Oct 08  2018,0.058782
Oct 07  2018,0.055460
Oct 06  2018,0.055330
Oct 05  2018,0.055622
Oct 04  2018,0.055201
Oct 03  2018,0.054744
Oct 02  2018,0.057704
Oct 01  2018,0.060506
Sep 30  2018,0.057369
Sep 29  2018,0.056861
Sep 28  2018,0.056724
Sep 27  2018,0.057189
Sep 26  2018,0.055005
Sep 25  2018,0.056088
Sep 24  2018,0.058535
Sep 23  2018,0.058249
Sep 22  2018,0.056804
Sep 21  2018,0.056720
Sep 20  2018,0.057021
Sep 19  2018,0.053955
Sep 18  2018,0.054676
Sep 17  2018,0.051732
Sep 16  2018,0.054611
Sep 15  2018,0.055083
Sep 14  2018,0.055330
Sep 13  2018,0.057220
Sep 12  2018,0.056192
Sep 11  2018,0.055404
Sep 10  2018,0.054876
Sep 09  2018,0.054344
Sep 08  2018,0.056513
Sep 07  2018,0.058681
Sep 06  2018,0.061174
Sep 05  2018,0.062046
Sep 04  2018,0.075378
Sep 03  2018,0.074102
Sep 02  2018,0.073283
Sep 01  2018,0.075500
Aug 31  2018,0.075853
Aug 30  2018,0.075377
Aug 29  2018,0.071208
Aug 28  2018,0.071829
Aug 27  2018,0.071222
Aug 26  2018,0.073709
Aug 25  2018,0.078010
Aug 24  2018,0.077994
Aug 23  2018,0.076247
Aug 22  2018,0.067490
Aug 21  2018,0.062020
Aug 20  2018,0.060952
Aug 19  2018,0.062672
Aug 18  2018,0.060636
Aug 17  2018,0.064427
Aug 16  2018,0.054520
Aug 15  2018,0.056607
Aug 14  2018,0.055359
Aug 13  2018,0.057544
Aug 12  2018,0.061985
Aug 11  2018,0.067233
Aug 10  2018,0.078428
Aug 09  2018,0.081746
Aug 08  2018,0.083361
Aug 07  2018,0.090653
Aug 06  2018,0.097213
Aug 05  2018,0.098644
Aug 04  2018,0.100292
Aug 03  2018,0.106220
Aug 02  2018,0.108959
Aug 01  2018,0.117035
Jul 31  2018,0.120076
Jul 30  2018,0.120629
Jul 29  2018,0.120041
Jul 28  2018,0.118235
Jul 27  2018,0.114410
Jul 26  2018,0.116611
Jul 25  2018,0.116309
Jul 24  2018,0.129627
Jul 23  2018,0.113000
Jul 22  2018,0.116564
Jul 21  2018,0.116268
Jul 20  2018,0.122913
Jul 19  2018,0.130472
Jul 18  2018,0.117368
Jul 17  2018,0.120996
Jul 16  2018,0.109586
Jul 15  2018,0.107175
Jul 14  2018,0.105131
Jul 13  2018,0.106498
Jul 12  2018,0.105843
Jul 11  2018,0.103718
Jul 10  2018,0.106466
Jul 09  2018,0.108311
Jul 08  2018,0.108010
Jul 07  2018,0.113008
Jul 06  2018,0.109888
Jul 05  2018,0.105514
Jul 04  2018,0.102992
Jul 03  2018,0.106286
Jul 02  2018,0.104647
Jul 01  2018,0.105644
Jun 30  2018,0.102356
Jun 29  2018,0.099364
Jun 28  2018,0.098638
Jun 27  2018,0.099606
Jun 26  2018,0.096110
Jun 25  2018,0.102002
Jun 24  2018,0.105944
Jun 23  2018,0.124528
Jun 22  2018,0.094070
Jun 21  2018,0.112984
Jun 20  2018,0.115478
Jun 19  2018,0.114530
Jun 18  2018,0.116431
Jun 17  2018,0.112764
Jun 16  2018,0.116862
Jun 15  2018,0.114060
Jun 14  2018,0.116205
Jun 13  2018,0.111208
Jun 12  2018,0.109568
Jun 11  2018,0.119519
Jun 10  2018,0.116890
Jun 09  2018,0.141574
Jun 08  2018,0.149364
Jun 07  2018,0.152453
Jun 06  2018,0.155747
Jun 05  2018,0.162925
Jun 04  2018,0.165534
Jun 03  2018,0.177454
Jun 02  2018,0.175107
Jun 01  2018,0.171258
May 31  2018,0.175919
May 30  2018,0.171832
May 29  2018,0.169102
May 28  2018,0.166329
May 27  2018,0.196774
May 26  2018,0.186940
May 25  2018,0.173116
May 24  2018,0.180067
May 23  2018,0.162278
May 22  2018,0.189993
May 21  2018,0.225410
May 20  2018,0.233256
May 19  2018,0.242822
May 18  2018,0.269928
May 17  2018,0.291944
May 16  2018,0.113948
May 15  2018,0.119937
May 14  2018,0.131381
May 13  2018,0.136276
May 12  2018,0.128834
May 11  2018,0.130773
May 10  2018,0.144841
May 09  2018,0.150989
May 08  2018,0.156429
May 07  2018,0.152058
May 06  2018,0.161399
May 05  2018,0.167584
May 04  2018,0.167867
May 03  2018,0.169294
May 02  2018,0.172636
May 01  2018,0.167453
Apr 30  2018,0.169064
Apr 29  2018,0.179725
Apr 28  2018,0.178912
Apr 27  2018,0.175671
Apr 26  2018,0.179409
Apr 25  2018,0.170490
Apr 24  2018,0.209198
Apr 23  2018,0.200377
Apr 22  2018,0.195440
Apr 21  2018,0.185303
Apr 20  2018,0.196173
Apr 19  2018,0.188688
Apr 18  2018,0.186807
Apr 17  2018,0.179578
Apr 16  2018,0.190594
Apr 15  2018,0.191023
Apr 14  2018,0.186299
Apr 13  2018,0.180694
Apr 12  2018,0.176697
Apr 11  2018,0.162476
Apr 10  2018,0.160379
Apr 09  2018,0.155127
Apr 08  2018,0.167623
Apr 07  2018,0.160794
Apr 06  2018,0.156172
Apr 05  2018,0.161582
Apr 04  2018,0.159641
Apr 03  2018,0.165433
Apr 02  2018,0.152823
Apr 01  2018,0.142801
Mar 31  2018,0.137945
Mar 30  2018,0.139052
Mar 29  2018,0.147188
Mar 28  2018,0.169016
Mar 27  2018,0.177228
Mar 26  2018,0.183217
Mar 25  2018,0.186514
Mar 24  2018,0.187575
Mar 23  2018,0.187563
Mar 22  2018,0.184928
Mar 21  2018,0.193383
Mar 20  2018,0.211409
Mar 19  2018,0.186098
Mar 18  2018,0.185931
Mar 17  2018,0.184152
Mar 16  2018,0.190812
Mar 15  2018,0.191915
Mar 14  2018,0.199455
Mar 13  2018,0.221509
Mar 12  2018,0.223371
Mar 11  2018,0.230625
Mar 10  2018,0.225718
Mar 09  2018,0.223441
Mar 08  2018,0.227400
Mar 07  2018,0.248375
Mar 06  2018,0.268179
Mar 05  2018,0.292334
Mar 04  2018,0.283229
Mar 03  2018,0.295574
Mar 02  2018,0.290084
Mar 01  2018,0.296658
Feb 28  2018,0.290603
Feb 27  2018,0.309664
Feb 26  2018,0.320782
Feb 25  2018,0.281585
Feb 24  2018,0.267715
Feb 23  2018,0.293566
Feb 22  2018,0.259106
Feb 21  2018,0.304050
Feb 20  2018,0.335069
Feb 19  2018,0.363096
Feb 18  2018,0.353063
Feb 17  2018,0.399692
Feb 16  2018,0.384362
Feb 15  2018,0.332738
Feb 14  2018,0.317522
Feb 13  2018,0.295793
Feb 12  2018,0.308816
Feb 11  2018,0.271691
Feb 10  2018,0.278333
Feb 09  2018,0.293380
Feb 08  2018,0.277283
Feb 07  2018,0.240508
Feb 06  2018,0.263775
Feb 05  2018,0.279055
Feb 04  2018,0.352984
Feb 03  2018,0.405105
Feb 02  2018,0.395744
Feb 01  2018,0.464280
Jan 31  2018,0.535953
Jan 30  2018,0.566646
Jan 29  2018,0.601108
Jan 28  2018,0.614625
Jan 27  2018,0.621461
Jan 26  2018,0.569575
Jan 25  2018,0.631038
Jan 24  2018,0.803381
